enc_number,t,x0,y0,z0,v0,dh0,theta0,x1,y1,z1,v1,dh1,theta1,advisory
1,0,-4861.812063843177,-3333.947590531669,-347.7552825625603,66.90831760848683,0.0,35.236686986119096,-963.3293904192342,-345.64414792515447,-339.35446689750546,67.70553537640805,0.0,250.2960727913591,0.0
1,1,-4823.208947158186,-3279.298506848563,-347.7552825625603,66.90831760848683,0.0,35.236686986119096,-1027.0705931818593,-368.4717319186475,-339.35446689750546,67.70553537640805,0.0,250.2960727913591,0.0
1,2,-4784.605830473194,-3224.649423165458,-347.7552825625603,66.90831760848683,0.0,35.236686986119096,-1090.811795944484,-391.2993159121404,-339.35446689750546,67.70553537640805,0.0,250.2960727913591,0.0
1,3,-4746.0027137882025,-3170.0003394823525,-347.7552825625603,66.90831760848683,0.0,35.236686986119096,-1154.5529987071095,-414.1268999056334,-339.35446689750546,67.70553537640805,0.0,250.2960727913591,0.0
1,4,-4707.399597103211,-3115.351255799247,-347.7552825625603,66.90831760848683,0.0,35.236686986119096,-1218.2942014697346,-436.9544838991262,-339.35446689750546,67.70553537640805,0.0,250.2960727913591,0.0
1,5,-4668.796480418219,-3060.7021721161414,-347.7552825625603,66.90831760848683,0.0,35.236686986119096,-1282.0354042323593,-459.782067892619,-339.35446689750546,67.70553537640805,0.0,250.2960727913591,0.0
1,6,-4630.193363733228,-3006.0530884330356,-347.7552825625603,66.90831760848683,0.0,35.236686986119096,-1345.7766069949844,-482.6096518861118,-339.35446689750546,67.70553537640805,0.0,250.2960727913591,0.0
1,7,-4591.590247048236,-2951.40400474993,-347.7552825625603,66.90831760848683,0.0,35.236686986119096,-1409.5178097576095,-505.4372358796047,-339.35446689750546,67.70553537640805,0.0,250.2960727913591,0.0
1,8,-4552.987130363244,-2896.754921066825,-347.7552825625603,66.90831760848683,0.0,35.236686986119096,-1473.2590125202344,-528.2648198730975,-339.35446689750546,67.70553537640805,0.0,250.2960727913591,0.0
1,9,-4514.384013678254,-2842.1058373837186,-347.7552825625603,66.90831760848683,0.0,35.236686986119096,-1537.0002152828595,-551.0924038665903,-339.35446689750546,67.70553537640805,0.0,250.2960727913591,0.0
