TEST SET EVALUATION
Model: ../../models/baseline.pt
Dataset: ../../datasets/starter_dataset

Filter	Subset	Samples	mAP	Precision	Recall
---------------------------------------------------
OVERALL	Valid	7200	0.8656237494632897	0.996549245147376	0.9074365017020163	

clouds=0	Valid	1200	0.8564056113620893	0.9914015477214101	0.9050235478806907	
clouds=1	Valid	1200	0.9003972809926154	1.0	0.9300314465408805	
clouds=2	Valid	1200	0.8867269542079604	0.9974662162162162	0.92265625	
clouds=3	Valid	1200	0.887740008424713	0.9965665236051502	0.9214285714285714	
clouds=4	Valid	1200	0.8815466491491918	0.9948936170212765	0.9204724409448819	
clouds=5	Valid	1200	0.7830575577557384	0.9990783410138249	0.8455538221528861	

distance=close (0-150m)	Valid	856	0.979439790097622	0.9988165680473373	0.9825378346915018	
distance=medium (150-500m)	Valid	3629	0.9418873138947943	0.9970010905125409	0.9598425196850394	
distance=far (>500m)	Valid	2715	0.7135143425760941	0.995085995085995	0.8184573930616369	

vang=below (vang<0deg)	Valid	3566	0.8466878807714571	0.9947750362844703	0.8980607966457023	
vang=above (vang>0deg)	Valid	3634	0.8837719519058026	0.9982905982905983	0.9167974882260597	

aircraft=Cessna Skyhawk	Valid	2400	0.7496363114313185	0.9946855624446412	0.8437265214124718	
aircraft=Boeing 737-800	Valid	2400	0.9832607952824546	0.9987623762376238	0.9877600979192166	
aircraft=King Air C90	Valid	2400	0.852036036506141	0.9960404751429829	0.8966336633663367	

location=Palo Alto	Valid	1800	0.9004509820811754	0.9988738738738738	0.9302569480859989	
location=Boston	Valid	1800	0.8849654768326992	0.9960429621254946	0.9215481171548117	
location=Osh Kosh	Valid	1800	0.8127444214932621	0.9993932038834952	0.8654755648975302	
location=Reno Tahoe	Valid	1800	0.865467818808158	0.9920544835414302	0.9123173277661796	

hours=morning (0800-1000)	Valid	1545	0.8717092455524721	0.9973082099596231	0.9114391143911439	
hours=midday (1000-1300)	Valid	2420	0.8663135554057864	0.9978623343309106	0.9071123202487369	
hours=early afternoon (1300-1500)	Valid	1685	0.8775303198187786	0.9975460122699387	0.9139966273187183	
hours=late afternoon (1500-1700)	Valid	1550	0.8455653928910617	0.9926666666666667	0.8969879518072289	
