                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1542,                 2.9704,                 1.4854,                0.57633,                 0.4559,                0.42405,                0.29132,                 1.7271,                 2.4614,                 1.3729,               0.006733,               0.006733,               0.006733
                     35,                 2.1578,                 2.9559,                 1.4814,                0.58092,                0.45692,                0.43035,                0.29714,                 1.7197,                  2.455,                 1.3687,               0.006634,               0.006634,               0.006634
                     36,                 2.1682,                 2.9658,                 1.4872,                 0.5872,                0.45909,                0.43686,                0.30389,                  1.714,                 2.4443,                 1.3649,               0.006535,               0.006535,               0.006535
                     37,                 2.1477,                 2.9318,                 1.4732,                 0.5917,                0.45817,                0.44122,                0.30894,                 1.7093,                 2.4369,                 1.3604,               0.006436,               0.006436,               0.006436
                     38,                 2.1436,                 2.9226,                 1.4778,                0.59052,                0.45951,                0.44574,                0.31349,                 1.7049,                 2.4291,                 1.3575,               0.006337,               0.006337,               0.006337
                     39,                 2.1305,                 2.8999,                 1.4712,                0.59053,                0.46076,                0.44943,                0.31765,                 1.6981,                 2.4249,                 1.3539,               0.006238,               0.006238,               0.006238
                     40,                 2.1264,                 2.8858,                 1.4656,                0.59526,                0.46006,                0.45278,                0.32121,                 1.6935,                 2.4184,                 1.3503,               0.006139,               0.006139,               0.006139
                     41,                 2.1233,                 2.8862,                 1.4608,                0.59334,                0.45906,                 0.4553,                0.32503,                   1.69,                 2.4156,                 1.3475,                0.00604,                0.00604,                0.00604
                     42,                 2.1166,                 2.8687,                 1.4656,                0.59051,                0.45854,                0.45723,                0.32807,                 1.6861,                 2.4111,                 1.3455,               0.005941,               0.005941,               0.005941
                     43,                 2.1029,                 2.8467,                 1.4601,                0.59441,                0.45437,                0.45953,                0.33115,                 1.6811,                 2.4064,                  1.344,               0.005842,               0.005842,               0.005842
                     44,                 2.1144,                 2.8506,                 1.4578,                0.59451,                0.45172,                0.46039,                0.33247,                 1.6775,                 2.4036,                 1.3417,               0.005743,               0.005743,               0.005743
                     45,                 2.0935,                 2.8317,                 1.4582,                0.59519,                0.44812,                0.46215,                0.33463,                 1.6735,                 2.4013,                   1.34,               0.005644,               0.005644,               0.005644
                     46,                 2.0897,                 2.8152,                 1.4519,                0.59787,                0.44382,                0.46293,                0.33684,                 1.6705,                  2.402,                 1.3386,               0.005545,               0.005545,               0.005545
                     47,                 2.0816,                  2.797,                 1.4513,                0.59758,                0.44246,                0.46404,                0.33818,                  1.672,                 2.4024,                 1.3385,               0.005446,               0.005446,               0.005446
                     48,                 2.0783,                 2.7952,                 1.4468,                0.59324,                0.44048,                0.46325,                0.33844,                 1.6699,                 2.4062,                 1.3385,               0.005347,               0.005347,               0.005347
                     49,                 2.0705,                 2.7763,                 1.4426,                0.58708,                0.43962,                 0.4613,                0.33811,                  1.668,                  2.413,                 1.3377,               0.005248,               0.005248,               0.005248
                     50,                 2.0669,                  2.767,                 1.4426,                0.58445,                0.43742,                0.46088,                0.33802,                 1.6676,                 2.4215,                 1.3384,               0.005149,               0.005149,               0.005149
                     51,                 2.0712,                 2.7656,                 1.4425,                0.58173,                0.43645,                0.46017,                0.33744,                 1.6657,                 2.4325,                 1.3377,                0.00505,                0.00505,                0.00505
                     52,                 2.0699,                 2.7635,                 1.4371,                 0.5744,                0.43339,                0.45924,                0.33551,                 1.6661,                 2.4463,                  1.337,               0.004951,               0.004951,               0.004951
                     53,                  2.052,                 2.7411,                 1.4337,                0.57038,                0.42631,                0.45666,                0.33384,                 1.6676,                 2.4632,                 1.3372,               0.004852,               0.004852,               0.004852
                     54,                 2.0671,                 2.7655,                 1.4373,                0.56199,                0.41659,                0.45387,                0.33133,                 1.6672,                 2.4831,                 1.3372,               0.004753,               0.004753,               0.004753
                     55,                 2.0431,                 2.7237,                 1.4313,                0.55392,                0.40793,                0.45103,                0.32927,                  1.665,                 2.5039,                 1.3373,               0.004654,               0.004654,               0.004654
                     56,                 2.0505,                 2.7322,                 1.4342,                0.54763,                0.39484,                0.44769,                0.32712,                 1.6665,                 2.5255,                 1.3395,               0.004555,               0.004555,               0.004555
                     57,                 2.0432,                 2.7154,                 1.4333,                0.54109,                0.38456,                0.44556,                0.32562,                 1.6689,                 2.5446,                 1.3422,               0.004456,               0.004456,               0.004456
                     58,                 2.0404,                 2.7194,                 1.4289,                0.53822,                0.37602,                0.44403,                0.32445,                 1.6718,                 2.5648,                 1.3441,               0.004357,               0.004357,               0.004357
                     59,                 2.0335,                 2.7033,                 1.4259,                0.53475,                0.36641,                0.44239,                0.32261,                  1.677,                 2.5851,                 1.3461,               0.004258,               0.004258,               0.004258
                     60,                 2.0276,                 2.6931,                 1.4228,                0.53212,                0.35463,                0.44178,                0.32112,                 1.6835,                 2.5993,                 1.3481,               0.004159,               0.004159,               0.004159
                     61,                 2.0138,                 2.6736,                 1.4167,                0.53193,                0.34505,                0.44094,                0.32032,                 1.6917,                 2.6147,                 1.3505,                0.00406,                0.00406,                0.00406
                     62,                 2.0202,                 2.6759,                 1.4153,                0.52942,                0.33849,                0.44005,                0.31995,                 1.6998,                 2.6264,                 1.3533,               0.003961,               0.003961,               0.003961
                     63,                 2.0114,                 2.6689,                 1.4155,                0.53041,                0.33121,                0.43939,                0.31864,                 1.7061,                  2.639,                 1.3556,               0.003862,               0.003862,               0.003862
                     64,                 2.0168,                 2.6771,                 1.4212,                0.53239,                0.32657,                0.43781,                0.31721,                 1.7127,                 2.6535,                 1.3572,               0.003763,               0.003763,               0.003763
                     65,                 2.0019,                 2.6536,                 1.4151,                0.53255,                0.32252,                0.43716,                0.31606,                 1.7182,                 2.6644,                 1.3591,               0.003664,               0.003664,               0.003664
                     66,                 1.9945,                 2.6377,                 1.4087,                0.53766,                0.31949,                0.43626,                0.31523,                 1.7301,                 2.6755,                 1.3623,               0.003565,               0.003565,               0.003565
                     67,                 1.9949,                  2.641,                 1.4124,                0.53977,                0.31602,                0.43532,                0.31422,                 1.7389,                 2.6836,                 1.3641,               0.003466,               0.003466,               0.003466
                     68,                 1.9898,                 2.6351,                 1.4074,                0.54645,                0.31614,                0.43544,                0.31384,                  1.749,                 2.6893,                 1.3673,               0.003367,               0.003367,               0.003367
                     69,                 1.9903,                 2.6362,                 1.4062,                0.55128,                0.31449,                0.43451,                0.31325,                 1.7581,                 2.6922,                 1.3683,               0.003268,               0.003268,               0.003268
                     70,                 1.9837,                 2.6143,                 1.4018,                0.55776,                0.31268,                0.43256,                0.31173,                 1.7679,                  2.699,                 1.3703,               0.003169,               0.003169,               0.003169
                     71,                 1.9658,                 2.6067,                 1.3964,                0.56275,                0.31088,                0.43092,                0.31097,                 1.7747,                 2.7063,                 1.3716,                0.00307,                0.00307,                0.00307
                     72,                 1.9701,                 2.6102,                 1.3973,                0.56967,                0.30907,                0.42952,                0.31025,                 1.7839,                 2.7136,                 1.3738,               0.002971,               0.002971,               0.002971
                     73,                 1.9591,                 2.5905,                 1.3935,                 0.5739,                0.30754,                0.42876,                 0.3105,                 1.7876,                 2.7188,                 1.3754,               0.002872,               0.002872,               0.002872
                     74,                 1.9563,                 2.5873,                 1.3885,                0.58327,                0.30233,                  0.428,                0.30975,                 1.7944,                 2.7235,                  1.376,               0.002773,               0.002773,               0.002773
                     75,                 1.9588,                 2.5968,                 1.3935,                 0.5824,                0.30101,                0.42623,                0.30906,                 1.8015,                  2.728,                 1.3771,               0.002674,               0.002674,               0.002674
                     76,                 1.9425,                 2.5715,                  1.385,                0.58657,                0.29754,                0.42501,                0.30858,                 1.8068,                  2.733,                 1.3777,               0.002575,               0.002575,               0.002575
                     77,                 1.9482,                 2.5804,                 1.3869,                0.59003,                0.29508,                 0.4228,                0.30719,                 1.8156,                 2.7413,                 1.3802,               0.002476,               0.002476,               0.002476
                     78,                 1.9372,                  2.565,                  1.381,                 0.5957,                0.29206,                0.42105,                0.30626,                 1.8266,                 2.7498,                 1.3824,               0.002377,               0.002377,               0.002377
                     79,                 1.9294,                 2.5509,                 1.3764,                0.60043,                0.29046,                0.42006,                0.30558,                  1.831,                  2.757,                 1.3831,               0.002278,               0.002278,               0.002278
                     80,                 1.9289,                 2.5473,                 1.3781,                 0.6013,                0.28879,                0.41951,                0.30604,                 1.8365,                 2.7599,                 1.3844,               0.002179,               0.002179,               0.002179
                     81,                 1.9224,                  2.532,                 1.3769,                0.60397,                0.28657,                0.41893,                0.30577,                 1.8436,                 2.7626,                 1.3864,                0.00208,                0.00208,                0.00208
                     82,                 1.9208,                 2.5362,                 1.3728,                0.61042,                0.28462,                0.41767,                0.30538,                 1.8496,                 2.7671,                 1.3869,               0.001981,               0.001981,               0.001981
                     83,                 1.9224,                 2.5354,                 1.3761,                0.61095,                0.28323,                0.41636,                0.30445,                 1.8557,                 2.7724,                 1.3892,               0.001882,               0.001882,               0.001882
                     84,                 1.9123,                 2.5235,                 1.3702,                0.61147,                0.28351,                0.41538,                0.30355,                 1.8685,                 2.7759,                 1.3924,               0.001783,               0.001783,               0.001783
                     85,                 1.8975,                 2.5078,                 1.3701,                0.61652,                0.28351,                0.41323,                0.30294,                 1.8791,                 2.7809,                 1.3955,               0.001684,               0.001684,               0.001684
